,service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
700,2022/05/01 04:00:00+00,Rail,Red Line,2702706.0,2702706.0,21,3483042.0,3483042.0,31,701
703,2022/06/01 04:00:00+00,Rail,Blue Line,919814.0,919814.0,22,1152060.0,1152060.0,30,704
707,2022/06/01 04:00:00+00,Rail,Green Line,2176675.0,2176675.0,22,2711185.0,2711185.0,30,708
708,2022/06/01 04:00:00+00,Rail,Orange Line,2389392.0,2389392.0,22,2869831.0,2869831.0,30,709
709,2022/06/01 04:00:00+00,Rail,Red Line,2856478.0,2856478.0,22,3431343.0,3431343.0,30,710
712,2022/07/01 04:00:00+00,Rail,Blue Line,825465.0,825465.0,20,1152608.0,1152608.0,31,713
716,2022/07/01 04:00:00+00,Rail,Green Line,1932396.0,1932396.0,20,2659999.0,2659999.0,31,717
717,2022/07/01 04:00:00+00,Rail,Orange Line,2083845.0,2083845.0,20,2722347.0,2722347.0,31,718
718,2022/07/01 04:00:00+00,Rail,Red Line,2554980.0,2554980.0,20,3264353.0,3264353.0,31,719
721,2022/08/01 04:00:00+00,Rail,Blue Line,908146.0,908146.0,23,1145314.0,1145314.0,31,722
725,2022/08/01 04:00:00+00,Rail,Green Line,1943055.0,1943055.0,23,2452184.0,2452184.0,31,726
726,2022/08/01 04:00:00+00,Rail,Orange Line,1719550.0,1719550.0,23,2041865.0,2041865.0,31,727
727,2022/08/01 04:00:00+00,Rail,Red Line,2724989.0,2724989.0,23,3296640.0,3296640.0,31,728
730,2022/09/01 04:00:00+00,Rail,Blue Line,930721.0,930721.0,21,1206808.0,1206808.0,30,731
734,2022/09/01 04:00:00+00,Rail,Green Line,2010944.0,2010944.0,21,2627640.0,2627640.0,30,735
735,2022/09/01 04:00:00+00,Rail,Orange Line,1368907.0,1368907.0,21,1618080.0,1618080.0,30,736
736,2022/09/01 04:00:00+00,Rail,Red Line,2737182.0,2737182.0,21,3396728.0,3396728.0,30,737
739,2022/10/01 04:00:00+00,Rail,Blue Line,923741.0,923741.0,21,1234913.0,1234913.0,31,740
743,2022/10/01 04:00:00+00,Rail,Green Line,1968853.0,1968853.0,21,2661163.0,2661163.0,31,744
744,2022/10/01 04:00:00+00,Rail,Orange Line,2288133.0,2288133.0,21,2953184.0,2953184.0,31,745
745,2022/10/01 04:00:00+00,Rail,Red Line,2819585.0,2819585.0,21,3570084.0,3570084.0,31,746
748,2022/11/01 04:00:00+00,Rail,Blue Line,909200.0,909200.0,21,1166113.0,1166113.0,30,749
758,2022/01/01 05:00:00+00,Rail,Blue Line,617268.0,617268.0,20,797367.0,797367.0,31,759
762,2022/01/01 05:00:00+00,Rail,Green Line,1486916.0,1486916.0,20,1955158.0,1955158.0,31,763
763,2022/01/01 05:00:00+00,Rail,Orange Line,1573912.0,1573912.0,20,1986122.0,1986122.0,31,764
764,2022/01/01 05:00:00+00,Rail,Red Line,1709921.0,1709921.0,20,2148255.0,2148255.0,31,765
767,2022/02/01 05:00:00+00,Rail,Blue Line,678309.0,678309.0,19,887788.0,887788.0,28,768
771,2022/02/01 05:00:00+00,Rail,Green Line,1788066.0,1788066.0,19,2394233.0,2394233.0,28,772
772,2022/02/01 05:00:00+00,Rail,Orange Line,1805723.0,1805723.0,19,2271725.0,2271725.0,28,773
773,2022/02/01 05:00:00+00,Rail,Red Line,2055200.0,2055200.0,19,2625136.0,2625136.0,28,774
776,2022/03/01 05:00:00+00,Rail,Blue Line,913745.0,913745.0,23,1112833.0,1112833.0,31,777
780,2022/03/01 05:00:00+00,Rail,Green Line,2319955.0,2319955.0,23,2861864.0,2861864.0,31,781
781,2022/03/01 05:00:00+00,Rail,Orange Line,2375081.0,2375081.0,23,2777631.0,2777631.0,31,782
782,2022/03/01 05:00:00+00,Rail,Red Line,2838860.0,2838860.0,23,3359469.0,3359469.0,31,783
785,2022/04/01 04:00:00+00,Rail,Blue Line,779745.0,779745.0,21,1019266.0,1019266.0,30,786
789,2022/04/01 04:00:00+00,Rail,Green Line,2192050.0,2192050.0,21,2878507.0,2878507.0,30,790
790,2022/04/01 04:00:00+00,Rail,Orange Line,2233210.0,2233210.0,21,2793194.0,2793194.0,30,791
791,2022/04/01 04:00:00+00,Rail,Red Line,2682417.0,2682417.0,21,3286475.0,3286475.0,30,792
794,2022/05/01 04:00:00+00,Rail,Blue Line,600224.0,600224.0,21,808015.0,808015.0,31,795
798,2022/05/01 04:00:00+00,Rail,Green Line,2034787.0,2034787.0,21,2741708.0,2741708.0,31,799
799,2022/05/01 04:00:00+00,Rail,Orange Line,2204981.0,2204981.0,21,2825014.0,2825014.0,31,800
802,2022/11/01 04:00:00+00,Rail,Green Line,2009808.0,2009808.0,21,2575198.0,2575198.0,30,803
803,2022/11/01 04:00:00+00,Rail,Orange Line,2280677.0,2280677.0,21,2821277.0,2821277.0,30,804
804,2022/11/01 04:00:00+00,Rail,Red Line,2717965.0,2717965.0,21,3323345.0,3323345.0,30,805
807,2022/12/01 05:00:00+00,Rail,Blue Line,828547.0,828547.0,21,1069147.0,1069147.0,31,808
811,2022/12/01 05:00:00+00,Rail,Green Line,1780526.0,1780526.0,21,2296063.0,2296063.0,31,812
812,2022/12/01 05:00:00+00,Rail,Orange Line,2058020.0,2058020.0,21,2558359.0,2558359.0,31,813
813,2022/12/01 05:00:00+00,Rail,Red Line,2381985.0,2381985.0,21,2884821.0,2884821.0,31,814
